"wz11cd","lsoa11cd","msoa11cd","date","Length of Residence in UK: All categories: Length of residence in the UK; measures: Value","Length of Residence in UK: Born in the UK; measures: Value","Length of Residence in UK: Resident in UK: Less than 2 years; measures: Value","Length of Residence in UK: Resident in UK: 2 years or more but less than 5 years; measures: Value","Length of Residence in UK: Resident in UK: 5 years or more but less than 10 years; measures: Value","Length of Residence in UK: Resident in UK: 10 years or more; measures: Value"
"E33018102","E01008884","E02001904",2011,735,619,7,16,19,74
"E33018103","E01008884","E02001904",2011,324,299,4,3,4,14
"E33018104","E01008884","E02001904",2011,704,577,10,33,21,63
"E33018105","E01008884","E02001904",2011,413,327,4,6,15,61
"E33018106","E01008889","E02001904",2011,498,366,6,16,25,85
"E33018107","E01008889","E02001904",2011,228,153,10,24,10,31
"E33018108","E01008887","E02001904",2011,522,443,5,13,22,39
"E33018109","E01008889","E02001904",2011,179,162,1,1,4,11
"E33018110","E01008889","E02001904",2011,490,432,3,6,18,31
"E33018111","E01008889","E02001904",2011,473,414,4,12,12,31
"E33018112","E01008889","E02001904",2011,623,488,13,11,24,87
"E33018113","E01008910","E02001876",2011,481,420,3,3,15,40
"E33018114","E01008910","E02001876",2011,2456,1897,9,27,87,436
"E33018115","E01033638","E02001875",2011,821,646,7,16,31,121
"E33018116","E01008913","E02001876",2011,363,261,4,7,36,55
"E33018117","E01008899","E02001863",2011,383,260,10,26,31,56
"E33018118","E01008899","E02001863",2011,256,182,10,7,17,40
"E33018119","E01008899","E02001863",2011,452,393,1,11,15,32
"E33018120","E01008899","E02001863",2011,465,413,3,9,12,28
"E33018121","E01008901","E02001863",2011,659,579,11,16,13,40
"E33018122","E01008901","E02001863",2011,667,549,1,10,38,69
"E33018123","E01008901","E02001863",2011,314,231,2,6,13,62
"E33018124","E01008901","E02001863",2011,509,450,1,6,19,33
"E33018125","E01008901","E02001863",2011,471,423,3,8,4,33
"E33018126","E01008917","E02001928",2011,261,164,16,31,21,29
"E33018127","E01008961","E02001942",2011,356,319,1,11,8,17
"E33018128","E01008961","E02001942",2011,371,324,4,8,8,27
"E33018129","E01008950","E02001939",2011,771,740,0,1,6,24
"E33018130","E01008991","E02001890",2011,794,657,7,18,32,80
"E33018131","E01008994","E02001900",2011,935,832,7,9,19,68
"E33018132","E01008994","E02001900",2011,333,286,2,13,15,17
"E33018133","E01008994","E02001900",2011,739,646,3,6,16,68
"E33018134","E01008994","E02001900",2011,206,140,2,14,29,21
"E33018135","E01008994","E02001900",2011,308,271,6,0,5,26
"E33018136","E01008990","E02001890",2011,741,667,7,11,23,33
"E33018137","E01008990","E02001890",2011,251,212,5,5,12,17
"E33018138","E01008990","E02001890",2011,415,386,0,2,9,18
"E33018139","E01008990","E02001890",2011,1722,1462,16,37,72,135
"E33018140","E01008990","E02001890",2011,564,481,16,17,15,35
"E33018141","E01008988","E02001890",2011,392,338,6,2,20,26
"E33018142","E01033631","E02001905",2011,7744,6113,186,302,366,777
"E33018143","E01033631","E02001905",2011,210,177,0,8,5,20
"E33018144","E01033631","E02001905",2011,373,340,0,5,7,21
"E33018145","E01009007","E02001849",2011,233,200,2,4,5,22
"E33018146","E01009007","E02001849",2011,282,205,9,15,28,25
"E33018147","E01009007","E02001849",2011,384,327,1,3,14,39
"E33018148","E01009007","E02001849",2011,487,417,0,5,8,57
"E33018149","E01009007","E02001849",2011,507,456,2,0,5,44
"E33018150","E01009007","E02001849",2011,271,248,0,2,5,16
"E33018151","E01009007","E02001849",2011,398,223,42,52,56,25
"E33018152","E01009007","E02001849",2011,407,379,2,2,4,20
"E33018153","E01009014","E02001916",2011,1018,911,2,10,23,72
"E33018154","E01009026","E02001916",2011,370,285,0,5,15,65
"E33018155","E01033641","E02006901",2011,345,286,3,6,8,42
"E33018156","E01009015","E02001915",2011,315,261,3,10,12,29
"E33018157","E01009045","E02001923",2011,410,324,6,5,18,57
"E33018158","E01009069","E02001901",2011,491,411,6,17,17,40
"E33018159","E01009069","E02001901",2011,261,229,7,7,7,11
"E33018160","E01009098","E02001851",2011,842,750,6,14,23,49
"E33018161","E01009102","E02001854",2011,1571,1361,8,48,52,102
"E33018162","E01009102","E02001854",2011,1166,1007,11,31,49,68
"E33018163","E01009102","E02001854",2011,388,336,4,15,9,24
"E33018164","E01009102","E02001854",2011,584,494,7,8,12,63
"E33018165","E01009102","E02001854",2011,313,289,2,5,7,10
"E33018166","E01009102","E02001854",2011,304,276,2,5,8,13
"E33018167","E01009102","E02001854",2011,1483,1331,10,22,39,81
"E33018168","E01009102","E02001854",2011,1028,894,10,24,44,56
"E33018169","E01009101","E02001855",2011,711,648,2,8,15,38
"E33018170","E01009101","E02001855",2011,2810,2611,4,10,30,155
"E33018171","E01009101","E02001855",2011,526,461,4,14,17,30
"E33018172","E01009119","E02001949",2011,249,229,0,1,5,14
"E33018173","E01009119","E02001949",2011,274,242,2,7,12,11
"E33018174","E01009119","E02001949",2011,668,578,5,16,29,40
"E33018175","E01009119","E02001949",2011,386,364,0,3,6,13
"E33018176","E01009119","E02001949",2011,745,682,4,11,16,32
"E33018177","E01009116","E02001953",2011,965,881,2,6,18,58
"E33018178","E01033627","E02006898",2011,3549,3062,73,101,114,199
"E33018179","E01033627","E02006898",2011,377,266,9,13,19,70
"E33018180","E01033622","E02006899",2011,1633,1361,33,60,67,112
"E33018181","E01033627","E02006898",2011,373,308,12,12,20,21
"E33018182","E01033627","E02006898",2011,1013,797,54,45,44,73
"E33018183","E01033627","E02006898",2011,1158,1025,14,13,34,72
"E33018184","E01009146","E02006897",2011,249,177,12,17,24,19
"E33018185","E01009146","E02006897",2011,364,278,10,25,26,25
"E33018186","E01009146","E02006897",2011,389,274,25,31,36,23
"E33018187","E01009146","E02006897",2011,2428,2177,16,25,63,147
"E33018188","E01033639","E02006897",2011,367,302,6,4,18,37
"E33018189","E01033639","E02006897",2011,377,250,21,32,36,38
"E33018190","E01033639","E02006897",2011,749,653,4,12,30,50
"E33018191","E01033639","E02006897",2011,539,388,23,39,44,45
"E33018192","E01033639","E02006897",2011,424,382,0,5,9,28
"E33018193","E01033639","E02006897",2011,588,527,11,7,17,26
"E33018194","E01033623","E02006899",2011,675,543,9,11,35,77
"E33018195","E01009159","E02001956",2011,1194,976,25,48,49,96
"E33018196","E01009159","E02001956",2011,709,684,5,5,1,14
"E33018197","E01009184","E02001918",2011,1210,965,8,19,51,167
"E33018198","E01009188","E02001918",2011,458,409,4,1,6,38
"E33018199","E01009178","E02001930",2011,539,392,4,11,17,115
"E33018200","E01009178","E02001930",2011,496,417,5,14,19,41
"E33018201","E01009178","E02001930",2011,386,346,1,6,12,21
"E33018202","E01009203","E02001869",2011,806,722,6,7,23,48
"E33018203","E01009199","E02001878",2011,850,665,9,30,46,100
"E33018204","E01009204","E02001878",2011,302,258,7,6,11,20
"E33018205","E01009204","E02001878",2011,312,281,0,6,9,16
"E33018206","E01009204","E02001878",2011,370,308,6,14,7,35
"E33018207","E01009204","E02001878",2011,255,221,3,3,7,21
"E33018208","E01033644","E02001878",2011,208,140,4,18,14,32
"E33018209","E01033644","E02001878",2011,257,193,3,5,9,47
"E33018210","E01033644","E02001878",2011,932,794,13,18,27,80
"E33018211","E01009194","E02001877",2011,327,255,1,7,15,49
"E33018212","E01009198","E02001884",2011,277,198,10,15,17,37
"E33018213","E01009198","E02001884",2011,293,200,6,13,29,45
"E33018214","E01009198","E02001884",2011,267,202,3,7,16,39
"E33018215","E01009198","E02001884",2011,327,219,4,8,21,75
"E33018216","E01009200","E02006900",2011,197,174,1,3,8,11
"E33018217","E01009200","E02006900",2011,248,187,8,8,9,36
"E33018218","E01009200","E02006900",2011,422,336,17,26,15,28
"E33018219","E01009200","E02006900",2011,745,482,8,33,58,164
"E33018220","E01009200","E02006900",2011,284,221,4,8,19,32
"E33018221","E01009200","E02006900",2011,301,248,1,6,13,33
"E33018222","E01009200","E02006900",2011,278,231,1,4,8,34
"E33018223","E01009200","E02006900",2011,965,833,9,20,36,67
"E33018224","E01009202","E02001869",2011,222,175,0,7,11,29
"E33018225","E01009202","E02001869",2011,1138,902,25,49,69,93
"E33018226","E01009202","E02001869",2011,226,208,1,5,4,8
"E33018227","E01009202","E02001869",2011,530,453,4,13,18,42
"E33018228","E01009203","E02001869",2011,275,239,0,9,6,21
"E33018229","E01009203","E02001869",2011,279,236,3,5,6,29
"E33018230","E01009203","E02001869",2011,380,293,3,12,24,48
